t,A_q_ns,A_q_ew,A_phase,B_q_ns,B_q_ew,B_phase,C_q_ns,C_q_ew,C_phase,D_q_ns,D_q_ew,D_phase
0,0,0,NS,0,0,NS,0,0,NS,0,0,NS
1,0,0,NS,0,0,NS,0,0,NS,0,0,NS
2,0,0,NS,0,0,NS,0,0,NS,0,0,NS
3,0,0,NS,0,0,NS,0,0,NS,0,0,NS
4,0,0,NS,0,0,NS,0,0,NS,0,0,NS
5,0,0,NS,0,0,NS,0,0,NS,0,0,NS
6,0,0,NS,0,0,NS,0,0,NS,0,0,NS
7,0,0,NS,0,0,NS,0,0,NS,0,0,NS
8,0,0,NS,0,0,NS,0,0,NS,0,0,NS
9,0,0,NS,0,0,NS,0,1,NS,0,0,NS
10,0,0,NS,0,0,NS,0,1,NS,0,0,NS
11,0,1,NS,0,0,NS,0,2,NS,0,0,NS
12,0,1,NS,0,0,NS,0,3,NS,0,0,NS
13,0,1,NS,0,0,NS,0,3,NS,0,0,NS
14,0,1,NS,0,0,NS,0,3,NS,0,0,NS
15,0,1,NS,0,0,NS,0,4,NS,0,0,NS
16,0,1,NS,0,0,NS,0,5,NS,0,0,NS
17,0,1,NS,0,0,NS,0,5,NS,0,0,NS
18,0,2,NS,0,0,NS,0,5,NS,0,0,NS
19,0,4,NS,0,0,NS,0,5,NS,0,0,NS
20,0,4,EW,0,0,EW,0,5,EW,0,0,EW
21,0,4,EW,0,0,EW,0,5,EW,0,0,EW
22,0,3,EW,0,0,EW,0,4,EW,0,0,EW
23,0,3,EW,0,0,EW,0,5,EW,1,0,EW
24,0,2,EW,0,0,EW,0,5,EW,1,0,EW
25,0,2,EW,0,0,EW,1,5,EW,1,0,EW
26,0,1,EW,0,0,EW,1,4,EW,1,0,EW
27,0,1,EW,0,0,EW,1,4,EW,1,0,EW
28,0,0,EW,0,0,EW,1,3,EW,1,0,EW
29,0,0,EW,0,0,EW,1,3,EW,1,0,EW
30,0,0,EW,0,0,EW,1,2,EW,1,0,EW
31,0,1,EW,0,0,EW,1,2,EW,1,0,EW
32,0,0,EW,0,0,EW,1,1,EW,1,0,EW
33,0,0,EW,0,0,EW,1,2,EW,1,1,EW
34,1,0,EW,0,0,EW,1,1,EW,1,0,EW
35,1,0,EW,0,0,EW,1,1,EW,1,0,EW
36,1,0,EW,0,0,EW,1,0,EW,1,0,EW
37,1,1,EW,0,1,EW,1,1,EW,1,1,EW
38,1,0,EW,0,1,EW,1,1,EW,1,0,EW
39,1,0,EW,0,1,EW,1,1,EW,1,0,EW
40,1,0,EW,0,0,EW,1,0,EW,1,1,EW
41,1,0,NS,0,0,NS,1,0,NS,1,2,NS
42,0,0,NS,0,1,NS,0,0,NS,0,2,NS
43,0,2,NS,0,1,NS,0,0,NS,0,2,NS
44,0,2,NS,0,1,NS,0,0,NS,0,2,NS
45,0,2,NS,0,1,NS,0,0,NS,0,2,NS
46,0,2,NS,0,2,NS,0,0,NS,0,3,NS
47,0,2,NS,0,2,NS,0,0,NS,0,4,NS
48,0,2,NS,0,2,NS,0,0,NS,0,4,NS
49,0,2,NS,0,2,NS,0,0,NS,0,4,NS
50,0,2,NS,0,2,NS,0,0,NS,0,4,NS
51,0,3,NS,1,3,NS,0,2,NS,0,4,NS
52,0,4,NS,0,3,NS,0,2,NS,0,5,NS
53,0,4,NS,0,3,NS,0,3,NS,0,6,NS
54,0,4,NS,0,3,NS,0,3,NS,0,6,NS
55,0,4,NS,0,3,NS,1,4,NS,0,6,NS
56,0,4,NS,0,3,NS,0,4,NS,0,6,NS
57,1,4,NS,0,3,NS,0,4,NS,0,6,NS
