t_s,hour,pred_next_total_req_kw,capacity_kw,total_req_kw,total_served_kw,total_unmet_kw,total_flex_req_kw,total_flex_served_kw,total_flex_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw
0,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
60,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
120,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
180,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
240,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
300,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
360,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
420,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
480,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
540,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
600,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
660,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
720,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
780,6,,600.0,610.0,600.0,10.0,235.0,0.0,235.0,220.0,220.0,0.0,35.0,0.0,35.0,160.0,160.0,0.0,80.0,0.0,80.0,140.0,140.0,0.0,65.0,0.0,65.0,90.0,80.0,10.0,55.0,0.0,55.0
