t,A_q_ns,A_q_ew,A_phase,B_q_ns,B_q_ew,B_phase,C_q_ns,C_q_ew,C_phase,D_q_ns,D_q_ew,D_phase
0,0,0,NS,0,0,NS,0,0,NS,0,0,NS
1,0,0,NS,0,0,NS,0,0,NS,0,0,NS
2,0,0,NS,0,0,NS,0,0,NS,0,0,NS
3,0,0,NS,0,0,NS,0,0,NS,0,0,NS
4,0,0,NS,0,0,NS,0,0,NS,0,0,NS
5,0,0,NS,0,0,NS,0,0,NS,0,0,NS
6,0,0,NS,0,0,NS,0,0,NS,0,0,NS
7,0,0,NS,0,0,NS,0,0,NS,0,0,NS
8,0,0,NS,0,0,NS,0,0,NS,0,0,NS
9,0,0,NS,0,0,NS,0,1,NS,0,0,NS
10,0,0,NS,0,0,NS,0,1,NS,0,0,NS
11,0,1,NS,0,0,NS,0,2,NS,0,0,NS
12,0,1,NS,0,0,NS,0,3,NS,0,0,NS
13,0,1,NS,0,0,NS,0,3,NS,0,0,NS
14,0,1,NS,0,0,NS,0,3,NS,0,0,NS
15,0,1,NS,0,0,NS,0,4,NS,0,0,NS
16,0,1,NS,0,0,NS,0,5,EW,0,0,NS
17,0,1,NS,0,0,NS,0,5,EW,0,0,NS
18,0,2,NS,0,0,NS,0,4,EW,0,0,NS
19,0,4,NS,0,0,NS,0,4,EW,0,0,NS
20,0,4,NS,0,0,NS,0,3,EW,0,0,NS
21,0,4,NS,0,0,NS,0,3,EW,0,0,NS
22,0,4,NS,0,0,NS,0,2,EW,0,0,NS
23,0,4,NS,0,0,NS,0,3,EW,1,0,NS
24,0,4,NS,0,0,NS,0,3,EW,0,0,NS
25,0,4,NS,0,0,NS,1,3,EW,0,0,NS
26,0,4,NS,0,0,NS,1,2,EW,0,1,NS
27,0,4,NS,0,0,NS,1,2,EW,0,1,NS
28,0,4,NS,0,0,NS,1,1,EW,0,1,NS
29,0,4,NS,0,0,NS,1,1,EW,0,1,NS
30,0,4,NS,0,0,NS,1,0,EW,0,1,NS
31,0,4,NS,0,0,NS,1,0,EW,0,1,NS
32,0,4,NS,0,0,NS,1,0,EW,0,3,NS
33,0,6,EW,0,0,NS,1,0,EW,0,3,NS
34,0,5,EW,0,0,NS,1,0,EW,0,3,NS
35,0,5,EW,0,0,NS,1,0,EW,0,3,NS
36,1,4,EW,0,0,NS,1,0,EW,0,3,NS
37,1,4,EW,0,0,NS,1,0,EW,0,5,EW
38,1,3,EW,0,0,NS,1,0,EW,0,4,EW
39,1,3,EW,0,0,NS,1,0,EW,0,4,EW
40,2,3,EW,0,0,EW,1,0,EW,0,4,EW
41,2,3,EW,0,0,EW,1,0,EW,0,4,EW
42,2,2,EW,0,0,EW,1,0,EW,0,5,EW
43,2,2,EW,0,0,EW,1,0,EW,0,5,EW
44,2,1,EW,0,0,EW,1,0,EW,0,4,EW
45,2,1,EW,0,1,EW,1,0,EW,0,4,EW
46,2,0,EW,0,1,EW,1,0,EW,0,3,EW
47,2,0,EW,0,1,EW,1,1,EW,0,3,EW
48,2,0,EW,0,0,EW,1,0,EW,0,2,EW
49,2,1,EW,0,0,EW,1,0,EW,0,2,EW
50,3,0,EW,0,0,EW,1,0,EW,0,2,EW
51,3,0,EW,0,0,EW,1,0,EW,0,2,EW
52,3,0,EW,0,0,EW,1,0,EW,0,1,EW
53,4,0,EW,1,0,EW,1,0,EW,0,1,EW
54,4,0,EW,1,0,EW,1,0,EW,0,0,EW
55,4,0,EW,1,0,EW,1,0,EW,0,0,EW
56,4,0,EW,1,1,EW,1,0,EW,0,0,EW
57,4,1,EW,1,2,EW,1,0,NS,0,0,EW
