t_s,hour,capacity_kw,total_req_kw,total_flex_req_kw,total_served_kw,total_unmet_kw,hospital_req_kw,hospital_served_kw,hospital_unmet_kw,hospital_flex_req_kw,hospital_flex_served_kw,hospital_flex_unmet_kw,residential_req_kw,residential_served_kw,residential_unmet_kw,residential_flex_req_kw,residential_flex_served_kw,residential_flex_unmet_kw,commercial_req_kw,commercial_served_kw,commercial_unmet_kw,commercial_flex_req_kw,commercial_flex_served_kw,commercial_flex_unmet_kw,industrial_req_kw,industrial_served_kw,industrial_unmet_kw,industrial_flex_req_kw,industrial_flex_served_kw,industrial_flex_unmet_kw,ev_charging_req_kw,ev_charging_served_kw,ev_charging_unmet_kw,ev_charging_flex_req_kw,ev_charging_flex_served_kw,ev_charging_flex_unmet_kw
0,6.0,220.0,195.25216863955558,85,220.00000000000003,60.25216863955557,60.90563215633371,60.90563215633371,0.0,5,5.0,0.0,46.128128204511,46.128128204511,0.0,18,18.0,0.0,37.96185260053458,37.96185260053458,0.0,12,1.7478313604444295,10.25216863955557,39.81967379036719,39.81967379036719,0.0,15,0.0,15.0,10.436881887809113,10.436881887809113,0.0,35,0.0,35.0
300,6.083333333333333,220.0,195.6501055642778,85,220.0,60.650105564277794,61.46646076160544,61.46646076160544,0.0,5,5.0,0.0,46.09303660519683,46.09303660519683,0.0,18,18.0,0.0,37.791995395700724,37.791995395700724,0.0,12,1.3498944357222094,10.65010556427779,39.90737122046024,39.90737122046024,0.0,15,0.0,15.0,10.39124158131455,10.39124158131455,0.0,35,0.0,35.0
600,6.166666666666667,220.0,198.16058328410733,85,219.99999999999997,63.16058328410735,59.94807644779375,59.94807644779375,0.0,5,5.0,0.0,46.70644662872344,46.70644662872344,0.0,18,16.83941671589265,1.16058328410735,37.883018604348855,37.883018604348855,0.0,12,0.0,12.0,43.49059966273363,43.49059966273363,0.0,15,0.0,15.0,10.13244194050765,10.13244194050765,0.0,35,0.0,35.0
900,6.25,220.0,204.7097059936944,85,220.0,69.70970599369439,61.27330292827989,61.27330292827989,0.0,5,5.0,0.0,49.851611281949424,49.851611281949424,0.0,18,10.290294006305613,7.709705993694387,40.34994427645686,40.34994427645686,0.0,12,0.0,12.0,42.740926430845505,42.740926430845505,0.0,15,0.0,15.0,10.493921076162708,10.493921076162708,0.0,35,0.0,35.0
1200,6.333333333333333,220.0,206.65760252459762,85,220.0,71.65760252459765,66.44953955316288,66.44953955316288,0.0,5,5.0,0.0,47.54217314738558,47.54217314738558,0.0,18,8.342397475402358,9.657602524597642,40.51658749434521,40.51658749434521,0.0,12,0.0,12.0,41.84369927546951,41.84369927546951,0.0,15,0.0,15.0,10.305603054234453,10.305603054234453,0.0,35,0.0,35.0
1500,6.416666666666667,220.0,204.39404561737453,85,220.0,69.39404561737456,61.43593814138952,61.43593814138952,0.0,5,5.0,0.0,49.462539477657025,49.462539477657025,0.0,18,10.605954382625447,7.3940456173745535,40.90638882627884,40.90638882627884,0.0,12,0.0,12.0,41.725774862873,41.725774862873,0.0,15,0.0,15.0,10.863404309176149,10.863404309176149,0.0,35,0.0,35.0
1800,6.5,220.0,208.1265869379899,85,220.0,73.12658693798988,65.25776163274078,65.25776163274078,0.0,5,5.0,0.0,50.45696406868386,50.45696406868386,0.0,18,6.873413062010108,11.126586937989892,40.42850290912279,40.42850290912279,0.0,12,0.0,12.0,41.58945947410116,41.58945947410116,0.0,15,0.0,15.0,10.393898853341312,10.393898853341312,0.0,35,0.0,35.0
2100,6.583333333333333,220.0,210.49084779371822,85,220.0,75.49084779371822,62.97935242138135,62.97935242138135,0.0,5,5.0,0.0,52.777463704737535,52.777463704737535,0.0,18,4.50915220628179,13.49084779371821,40.56887621644523,40.56887621644523,0.0,12,0.0,12.0,43.093768814879574,43.093768814879574,0.0,15,0.0,15.0,11.071386636274525,11.071386636274525,0.0,35,0.0,35.0
2400,6.666666666666667,220.0,215.5198161186306,85,220.00000000000003,80.51981611863056,65.14105803265399,65.14105803265399,0.0,5,4.48018388136944,0.5198161186305601,51.57268118562902,51.57268118562902,0.0,18,0.0,18.0,42.759707686706975,42.759707686706975,0.0,12,0.0,12.0,45.240662280188886,45.240662280188886,0.0,15,0.0,15.0,10.805706933451704,10.805706933451704,0.0,35,0.0,35.0
2700,6.75,220.0,220.79813358306535,85,220.0,85.79813358306535,66.53410405130276,66.53410405130276,0.0,5,0.0,5.0,53.594326393188986,53.594326393188986,0.0,18,0.0,18.0,43.83610621688969,43.83610621688969,0.0,12,0.0,12.0,45.862769144388764,45.862769144388764,0.0,15,0.0,15.0,10.970827777295149,10.172694194229791,0.7981335830653578,35,0.0,35.0
3000,6.833333333333333,220.0,222.22949605235382,85,220.0,87.22949605235382,69.87184893737192,69.87184893737192,0.0,5,0.0,5.0,52.26331808882469,52.26331808882469,0.0,18,0.0,18.0,42.65248958482249,42.65248958482249,0.0,12,0.0,12.0,46.502183793504315,46.502183793504315,0.0,15,0.0,15.0,10.939655647830415,8.710159595476597,2.2294960523538183,35,0.0,35.0
