vehicle,finish_t,total_wait_s
N2S_R-1,18,1.2759297700688546
N2S_R-2,24,1.4240703452947372
W2E_B-3,38,21.883399376664308
W2E_B-1,40,19.429652642426227
W2E_B-2,42,19.599185945354765
W2E_B-4,44,16.804152027111307
W2E_T-2,46,20.4184951169996
W2E_B-7,46,15.097209123501063
W2E_T-1,48,26.259595802636692
W2E_B-5,48,19.915798482849986
W2E_T-4,50,20.084194913194
W2E_B-8,50,9.510875816505493
W2E_T-6,52,9.54281876443956
W2E_B-6,52,15.400125667271766
W2E_T-3,54,21.90258348229871
W2E_B-9,54,5.922379073928383
W2E_T-7,56,6.981992920639804
N2S_L-1,58,34.18492533758021
W2E_B-10,58,2.236727581809724
W2E_T-5,58,13.505894526736995
W2E_T-8,60,4.892050222466793
W2E_B-11,68,1.6240551519185402
W2E_T-9,68,2.768123891820352
W2E_T-10,70,5.106430630676961
N2S_R-4,82,17.051122375639437
N2S_L-4,84,27.964747431338026
N2S_R-3,84,22.85667225614221
N2S_L-2,86,37.63491470942485
N2S_R-5,86,15.767720935589963
N2S_L-3,88,37.5088309616168
N2S_R-6,88,15.721579347390218
N2S_L-5,90,30.017950864202312
N2S_R-7,90,12.476738622517274
N2S_R-8,94,2.728864193831299
N2S_R-9,102,4.639921874431522
N2S_R-10,104,2.3778684356439896
W2E_B-12,112,32.218151316893284
W2E_T-11,112,33.62211543682716
W2E_B-13,114,28.624660175247215
W2E_T-13,114,31.045314894715048
W2E_B-14,116,24.42304718254441
W2E_T-12,116,31.9375832350745
W2E_B-17,118,24.83752874097823
W2E_T-14,118,34.40209878510652
W2E_B-16,120,23.42319379085103
W2E_T-15,120,32.997271283608626
W2E_B-18,122,24.196072924165918
W2E_T-16,122,19.34864736494069
W2E_B-19,124,18.44810450429732
W2E_T-17,124,18.22301773182666
W2E_B-15,126,27.21015189607253
W2E_T-20,126,11.355317400917698
W2E_B-20,128,12.516860668623522
W2E_T-18,128,17.575230632130328
W2E_B-21,130,5.5383418430917715
W2E_T-19,130,12.654771198337102
N2S_L-6,132,55.68519990782238
W2E_B-22,132,2.888471189836764
W2E_T-21,132,4.633361385187939
N2S_L-7,134,56.02227368321856
N2S_L-8,136,44.345502962177235
N2S_L-9,138,34.72313306202338
W2E_B-24,140,2.2688045458584867
W2E_T-22,140,0.174319096796836
W2E_T-23,142,3.0329448754143016
N2S_L-11,148,29.66382267775208
W2E_T-25,150,1.4310315548077313
N2S_L-12,150,20.09051401262623
N2S_R-11,152,40.56906569802372
N2S_L-10,152,30.680697638794044
N2S_R-12,154,41.582293524232426
N2S_L-13,154,8.147634617271734
N2S_R-13,156,36.80603255128345
N2S_R-14,158,38.142861532363156
N2S_R-15,164,37.038915275706685
N2S_R-16,168,6.017656292643892
N2S_R-17,170,5.918813653125369
N2S_R-20,180,2.5042114757973764
N2S_R-18,182,3.8260270531835943
N2S_L-15,184,18.47590242085616
N2S_R-19,184,4.337190443767923
N2S_L-14,186,18.015013257030432
W2E_B-23,186,45.82024416034409
N2S_L-16,188,15.510589311604207
W2E_B-26,188,39.206339161571634
N2S_L-18,190,15.341758923118618
W2E_B-25,190,43.70874545335795
W2E_T-26,192,38.700957832291806
N2S_L-17,192,11.843267013585432
W2E_B-28,192,23.20832613611418
W2E_T-24,194,42.58701000936293
W2E_B-29,194,21.883762952097726
W2E_T-29,196,17.56694236771662
W2E_B-27,196,21.652652445214187
W2E_T-28,198,23.25970906166671
W2E_B-31,198,16.4400688557636
W2E_T-27,200,25.139030402808316
W2E_B-30,200,19.79655944205021
W2E_T-31,202,12.24713525030495
W2E_B-32,202,15.253922439094566
W2E_T-30,204,15.12441849977219
W2E_T-33,206,5.366064838677232
W2E_T-32,208,7.047917560136
N2S_L-19,210,25.099492133176255
W2E_T-34,210,2.7809681636031485
N2S_R-21,226,38.26114504846598
N2S_R-22,228,38.17500135915313
N2S_R-24,230,9.29171455137282
N2S_L-23,232,26.519004892644375
W2E_B-33,234,31.024010288254345
N2S_L-21,234,38.79743924585705
W2E_B-36,236,28.445377863320772
N2S_L-20,236,40.84340310976958
W2E_B-35,238,30.908153189761805
N2S_L-24,238,25.50177340232932
W2E_B-34,240,31.74437141472478
N2S_L-22,240,27.971166016304096
W2E_B-38,242,20.257433968306913
N2S_L-25,242,21.314691979079555
W2E_B-39,244,20.9005752439825
N2S_L-26,244,15.18320935289998
W2E_B-41,246,20.559087698213432
N2S_L-28,246,8.783890707019935
N2S_R-23,248,22.51646103651737
N2S_L-29,248,12.022173942707525
N2S_R-25,250,23.15044561859284
N2S_L-27,250,11.603614345878356
W2E_T-35,252,39.23866795881014
N2S_R-27,252,25.091579517016015
W2E_T-36,254,42.24114028226086
N2S_R-26,254,25.77547126060432
W2E_T-38,256,24.184278460943602
N2S_R-29,256,19.399768222011147
W2E_T-37,258,27.09950723924777
N2S_R-28,258,22.14454869161571
W2E_T-40,260,22.556566649637716
N2S_R-30,260,12.50686924857925
W2E_T-39,262,23.585904514707522
W2E_T-42,264,10.573622114866822
W2E_T-41,266,11.861004973113893
W2E_T-43,268,9.82897133529525
W2E_T-45,270,4.530399439908848
W2E_T-44,272,6.870849244765935
W2E_B-37,280,49.05821778908086
N2S_L-30,282,39.01463643975001
W2E_B-42,282,45.166928840769714
N2S_L-31,284,37.515808320045636
W2E_B-40,284,50.75849807145437
N2S_L-32,286,35.96237235093946
W2E_B-43,286,47.74630690445099
N2S_L-35,288,16.83620395308401
W2E_B-45,288,20.043849776021318
N2S_L-33,290,28.63484795467886
W2E_B-46,290,20.01471071741696
N2S_L-37,292,12.962247636729387
W2E_B-44,292,39.58144718164317
N2S_L-34,294,22.580584934790807
W2E_B-47,294,10.098606692649355
N2S_L-36,296,5.585235055218732
W2E_B-48,296,11.896001165664302
N2S_L-38,298,6.110558793008693
N2S_R-31,298,37.19683711083053
N2S_R-32,300,27.193587417393587
N2S_R-34,302,32.3231601878619
N2S_R-36,304,17.521762963702656
N2S_R-33,306,28.684116205128362
N2S_R-35,308,22.277549786839018
N2S_R-38,310,15.869246353747542
W2E_T-47,312,38.0381789606642
N2S_R-37,312,14.392146571410649
W2E_T-48,314,26.495259537982918
N2S_R-39,314,13.199514309308256
W2E_T-46,316,39.783857333052424
W2E_T-51,318,18.44462688201429
W2E_T-49,320,26.1044638369018
W2E_T-52,322,11.788632639483524
W2E_T-50,324,21.488561153359456
W2E_T-53,326,13.309400792787642
W2E_T-54,336,2.3316007751717507
W2E_B-49,338,46.02911068164201
W2E_T-55,340,2.6466123740294734
W2E_B-50,340,42.810970272314876
W2E_B-51,342,39.80808797911067
W2E_B-54,344,11.600460166199468
W2E_B-52,346,38.65735223762971
W2E_B-57,348,10.429342805391684
W2E_B-55,350,12.891986720550278
W2E_B-53,352,18.439782305259882
W2E_B-58,354,12.59363010838365
W2E_B-56,356,11.152757007707464
N2S_L-39,358,40.972130222302894
W2E_B-59,358,10.029137578575728
N2S_L-40,360,28.405166287831378
N2S_L-41,362,27.770288969209275
W2E_B-60,364,2.0724547316722237
N2S_L-42,364,11.085751482115597
N2S_L-44,366,11.863565379357112
N2S_L-45,368,9.275792197340252
N2S_L-43,370,12.49310192593856
N2S_R-40,372,44.4498867169865
N2S_L-48,372,9.460977204671508
N2S_R-43,374,16.44730991073584
N2S_L-50,374,5.498112429104594
N2S_R-41,376,20.413630769906433
N2S_L-46,376,6.264545287831652
N2S_R-44,378,10.295061038260542
N2S_L-49,378,10.550663341107565
N2S_R-42,380,18.186643259161997
N2S_L-47,380,8.210492250615346
N2S_R-45,382,6.31160456345259
N2S_L-51,382,4.54238696890053
N2S_L-52,384,4.664893155229436
N2S_L-53,386,5.8126666610909865
N2S_R-46,388,1.9315705720615597
W2E_T-56,392,18.372797957769592
W2E_T-57,394,10.658090561542792
W2E_T-58,396,6.685437552514145
W2E_T-60,398,3.1783080452420336
W2E_T-59,400,2.4455614676541018
N2S_R-47,402,1.2222124450129286
W2E_B-61,406,37.17285934981879
W2E_T-61,408,3.395467114168355
W2E_B-63,408,32.248625094450176
W2E_B-64,410,31.62736914246028
W2E_B-62,412,34.434222015635555
W2E_B-65,414,32.09652130890572
W2E_B-68,416,14.831328020134322
W2E_B-67,418,16.759080921297254
W2E_B-69,420,15.652999483580004
W2E_B-70,422,15.967331346441313
W2E_B-66,424,21.09919166289984
W2E_B-71,426,12.133502202614238
N2S_L-57,428,19.369243746556265
W2E_B-72,428,1.6052086936299474
N2S_L-54,430,39.399159203299746
N2S_L-56,432,35.736637740575645
N2S_L-58,434,19.579840799130068
W2E_B-73,436,1.4945167213704167
N2S_L-55,436,38.60405262862446
N2S_L-60,438,23.58337082170283
N2S_L-59,440,24.928997519733116
N2S_L-61,442,19.293835610135375
W2E_T-62,444,27.547623672372595
N2S_R-50,446,32.43797555904257
W2E_T-63,446,21.96653067933954
N2S_R-49,448,42.19550438661474
W2E_T-64,448,17.108824186944332
N2S_R-48,450,42.023145608498396
W2E_T-67,450,8.058902146262483
N2S_R-51,452,6.504754011913633
W2E_T-66,452,19.886353910448804
W2E_T-65,454,21.01496456159157
W2E_T-68,456,4.724180906783488
N2S_L-62,462,30.77600560078787
N2S_L-65,464,24.251293445671763
N2S_L-64,466,25.647213894278764
W2E_B-74,468,22.03797543083664
N2S_L-66,468,19.818403714339183
W2E_B-76,470,19.621311818569097
N2S_L-67,470,19.68579858298574
W2E_B-78,472,15.576989090310008
N2S_L-63,472,22.501567704481204
W2E_B-77,474,18.47053982149106
N2S_L-68,474,13.717062691338697
W2E_B-75,476,20.881179628225937
W2E_B-79,478,10.495203517555865
N2S_R-54,494,25.831006478335837
W2E_T-70,494,30.034071813242463
N2S_R-52,496,22.030533246535185
W2E_T-69,496,34.1195017550225
N2S_R-53,498,24.308034092573507
W2E_T-71,498,26.73028034803707
N2S_R-56,500,20.93393467352348
W2E_T-72,500,19.635761887975832
