t,type,intersection,phase,q_ns,q_ew,action,vehicle
0,signal,A,NS,0.0,0.0,HOLD,
0,signal,B,NS,0.0,0.0,HOLD,
0,signal,C,NS,0.0,0.0,HOLD,
0,signal,D,NS,0.0,0.0,HOLD,
1,signal,A,NS,0.0,0.0,HOLD,
1,signal,B,NS,0.0,0.0,HOLD,
1,signal,C,NS,0.0,0.0,HOLD,
1,signal,D,NS,0.0,0.0,HOLD,
2,signal,A,NS,0.0,0.0,HOLD,
2,signal,B,NS,0.0,0.0,HOLD,
2,signal,C,NS,0.0,0.0,HOLD,
2,signal,D,NS,0.0,0.0,HOLD,
3,signal,A,NS,0.0,0.0,HOLD,
3,signal,B,NS,0.0,0.0,HOLD,
3,signal,C,NS,0.0,0.0,HOLD,
3,signal,D,NS,0.0,0.0,HOLD,
4,signal,A,NS,0.0,0.0,HOLD,
4,signal,B,NS,0.0,0.0,HOLD,
4,signal,C,NS,0.0,0.0,HOLD,
4,signal,D,NS,0.0,0.0,HOLD,
5,signal,A,NS,0.0,0.0,HOLD,
5,signal,B,NS,0.0,0.0,HOLD,
5,signal,C,NS,0.0,0.0,HOLD,
5,signal,D,NS,0.0,0.0,HOLD,
6,signal,A,NS,0.0,0.0,HOLD,
6,signal,B,NS,0.0,0.0,HOLD,
6,signal,C,NS,0.0,0.0,HOLD,
6,signal,D,NS,0.0,0.0,HOLD,
7,signal,A,NS,0.0,0.0,HOLD,
7,signal,B,NS,0.0,0.0,HOLD,
7,signal,C,NS,0.0,0.0,HOLD,
7,signal,D,NS,0.0,0.0,HOLD,
8,signal,A,NS,0.0,0.0,HOLD,
8,signal,B,NS,0.0,0.0,HOLD,
8,signal,C,NS,0.0,0.0,HOLD,
8,signal,D,NS,0.0,0.0,HOLD,
9,signal,A,NS,0.0,0.0,HOLD,
9,signal,B,NS,0.0,0.0,HOLD,
9,signal,C,NS,0.0,1.0,HOLD,
9,signal,D,NS,0.0,0.0,HOLD,
10,signal,A,NS,0.0,0.0,HOLD,
10,signal,B,NS,0.0,0.0,HOLD,
10,signal,C,NS,0.0,1.0,HOLD,
10,signal,D,NS,0.0,0.0,HOLD,
10,release,B,NS,,,,N2S_R-1
11,signal,A,NS,0.0,1.0,HOLD,
11,signal,B,NS,0.0,0.0,HOLD,
11,signal,C,NS,0.0,2.0,HOLD,
11,signal,D,NS,0.0,0.0,HOLD,
12,signal,A,NS,0.0,1.0,HOLD,
12,signal,B,NS,0.0,0.0,HOLD,
12,signal,C,NS,0.0,3.0,HOLD,
12,signal,D,NS,0.0,0.0,HOLD,
13,signal,A,NS,0.0,1.0,HOLD,
13,signal,B,NS,0.0,0.0,HOLD,
13,signal,C,NS,0.0,3.0,HOLD,
13,signal,D,NS,0.0,0.0,HOLD,
14,signal,A,NS,0.0,1.0,HOLD,
14,signal,B,NS,0.0,0.0,HOLD,
14,signal,C,NS,0.0,3.0,HOLD,
14,signal,D,NS,0.0,0.0,HOLD,
14,release,B,NS,,,,N2S_R-2
15,signal,A,NS,0.0,1.0,HOLD,
15,signal,B,NS,0.0,0.0,HOLD,
15,signal,C,NS,0.0,4.0,HOLD,
15,signal,D,NS,0.0,0.0,HOLD,
16,signal,A,NS,0.0,1.0,HOLD,
16,signal,B,NS,0.0,0.0,HOLD,
16,signal,C,EW,0.0,5.0,SWITCH,
16,signal,D,NS,0.0,0.0,HOLD,
16,signal,C,EW,0.0,5.0,HOLD,
17,signal,A,NS,0.0,1.0,HOLD,
17,signal,B,NS,0.0,0.0,HOLD,
17,signal,D,NS,0.0,0.0,HOLD,
17,signal,C,EW,0.0,5.0,HOLD,
18,signal,A,NS,0.0,2.0,HOLD,
18,signal,B,NS,0.0,0.0,HOLD,
18,signal,D,NS,0.0,0.0,HOLD,
18,signal,C,EW,0.0,4.0,HOLD,
18,release,A,NS,,,,N2S_L-1
18,release,C,EW,,,,W2E_B-3
18,release,D,NS,,,,N2S_R-1
19,signal,A,NS,0.0,4.0,HOLD,
19,signal,B,NS,0.0,0.0,HOLD,
19,signal,D,NS,0.0,0.0,HOLD,
19,signal,C,EW,0.0,4.0,HOLD,
20,signal,A,NS,0.0,4.0,HOLD,
20,signal,B,NS,0.0,0.0,HOLD,
20,signal,D,NS,0.0,0.0,HOLD,
20,signal,C,EW,0.0,3.0,HOLD,
20,release,C,EW,,,,W2E_B-2
21,signal,A,NS,0.0,4.0,HOLD,
21,signal,B,NS,0.0,0.0,HOLD,
21,signal,D,NS,0.0,0.0,HOLD,
21,signal,C,EW,0.0,3.0,HOLD,
22,signal,A,NS,0.0,4.0,HOLD,
22,signal,B,NS,0.0,0.0,HOLD,
22,signal,D,NS,0.0,0.0,HOLD,
22,signal,C,EW,0.0,2.0,HOLD,
22,release,C,EW,,,,W2E_B-1
23,signal,A,NS,0.0,4.0,HOLD,
23,signal,B,NS,0.0,0.0,HOLD,
23,signal,D,NS,1.0,0.0,HOLD,
23,signal,C,EW,0.0,3.0,HOLD,
24,signal,A,NS,0.0,4.0,HOLD,
24,signal,B,NS,0.0,0.0,HOLD,
24,signal,D,NS,0.0,0.0,HOLD,
24,signal,C,EW,0.0,3.0,HOLD,
24,release,D,NS,,,,N2S_R-2
24,release,C,EW,,,,W2E_B-4
25,signal,A,NS,0.0,4.0,HOLD,
25,signal,B,NS,0.0,0.0,HOLD,
25,signal,D,NS,0.0,0.0,HOLD,
25,signal,C,EW,1.0,3.0,HOLD,
26,signal,A,NS,0.0,4.0,HOLD,
26,signal,B,NS,0.0,0.0,HOLD,
26,signal,D,NS,0.0,1.0,HOLD,
26,signal,C,EW,1.0,2.0,HOLD,
26,release,C,EW,,,,W2E_B-5
27,signal,A,NS,0.0,4.0,HOLD,
27,signal,B,NS,0.0,0.0,HOLD,
27,signal,D,NS,0.0,1.0,HOLD,
27,signal,C,EW,1.0,2.0,HOLD,
28,signal,A,NS,0.0,4.0,HOLD,
28,signal,B,NS,0.0,0.0,HOLD,
28,signal,D,NS,0.0,1.0,HOLD,
28,signal,C,EW,1.0,1.0,HOLD,
