t,q_ns,q_ew,phase
0,0,0,NS
1,0,1,NS
2,1,1,NS
3,1,1,NS
4,0,1,NS
5,1,1,NS
6,2,1,NS
7,2,3,NS
8,1,3,NS
9,4,3,NS
10,3,4,NS
11,4,4,NS
12,5,4,NS
13,5,4,NS
14,4,4,NS
15,4,4,NS
16,4,4,NS
17,4,4,NS
18,3,5,NS
19,3,5,NS
20,3,4,EW
21,3,4,EW
22,3,3,EW
23,3,4,EW
24,3,3,EW
25,3,4,EW
26,5,3,EW
27,5,3,EW
28,5,2,EW
29,5,2,EW
30,5,1,EW
31,5,1,EW
32,6,0,EW
33,7,0,EW
34,9,0,EW
35,10,0,EW
36,10,0,EW
37,10,0,EW
38,10,0,EW
39,10,0,EW
40,9,0,NS
41,10,0,NS
42,10,0,NS
43,10,0,NS
44,9,1,NS
45,10,1,NS
46,10,1,NS
47,10,1,NS
48,9,1,NS
49,11,3,NS
50,11,3,NS
51,11,3,NS
52,11,3,NS
53,12,3,NS
54,11,3,NS
55,11,4,NS
56,11,4,NS
57,12,4,NS
58,11,5,NS
59,11,5,NS
60,11,4,EW
61,11,4,EW
62,12,3,EW
63,13,3,EW
64,13,3,EW
65,13,3,EW
66,14,2,EW
67,14,2,EW
68,14,2,EW
69,14,2,EW
70,14,1,EW
71,14,1,EW
72,14,0,EW
73,15,0,EW
74,16,0,EW
75,16,1,EW
76,16,0,EW
77,16,0,EW
78,16,0,EW
79,16,0,EW
80,15,0,NS
81,15,0,NS
82,14,0,NS
83,14,0,NS
84,13,0,NS
85,13,1,NS
86,12,2,NS
87,14,2,NS
88,13,2,NS
89,13,3,NS
90,12,3,NS
91,13,3,NS
92,12,3,NS
93,12,3,NS
94,12,3,NS
95,12,3,NS
96,11,4,NS
97,11,4,NS
98,10,5,NS
99,10,5,NS
100,10,4,EW
101,11,4,EW
102,11,3,EW
103,11,3,EW
104,12,3,EW
105,12,3,EW
106,12,2,EW
107,13,3,EW
108,13,2,EW
109,13,2,EW
110,13,1,EW
111,13,1,EW
112,13,0,EW
113,14,0,EW
114,14,0,EW
115,15,0,EW
116,15,0,EW
117,15,0,EW
118,15,0,EW
119,17,0,EW
120,16,0,NS
121,16,1,NS
122,15,1,NS
123,16,1,NS
124,15,1,NS
125,15,1,NS
126,14,1,NS
127,14,2,NS
128,13,2,NS
129,13,2,NS
130,12,2,NS
131,12,2,NS
132,11,2,NS
133,11,2,NS
134,10,2,NS
135,10,3,NS
136,9,3,NS
137,9,4,NS
138,8,4,NS
139,8,5,NS
140,10,4,EW
141,10,4,EW
142,12,3,EW
143,14,3,EW
144,14,2,EW
145,14,3,EW
146,14,3,EW
147,14,4,EW
148,15,3,EW
149,15,3,EW
150,15,4,EW
151,15,4,EW
152,15,3,EW
153,15,4,EW
154,15,3,EW
155,16,3,EW
156,16,2,EW
157,16,3,EW
158,16,2,EW
159,16,2,EW
160,15,2,NS
161,15,2,NS
162,15,2,NS
163,15,2,NS
164,14,2,NS
165,14,3,NS
166,13,3,NS
167,13,4,NS
168,13,4,NS
169,13,4,NS
170,13,5,NS
171,13,5,NS
172,12,5,NS
173,12,5,NS
174,11,5,NS
175,11,5,NS
176,10,5,NS
177,10,5,NS
178,9,5,NS
179,9,5,NS
180,10,4,EW
181,11,5,EW
182,12,5,EW
183,12,6,EW
184,13,5,EW
185,15,5,EW
186,15,4,EW
187,16,5,EW
188,17,4,EW
189,17,4,EW
190,17,3,EW
191,17,4,EW
192,17,3,EW
193,17,3,EW
194,17,2,EW
195,17,2,EW
196,17,1,EW
197,17,2,EW
198,17,1,EW
199,18,1,EW
200,17,1,NS
201,17,2,NS
202,18,2,NS
203,18,2,NS
204,17,2,NS
205,17,2,NS
206,16,2,NS
207,16,3,NS
208,15,3,NS
209,15,3,NS
210,15,3,NS
211,15,3,NS
212,14,3,NS
213,14,3,NS
214,13,4,NS
215,13,4,NS
216,12,4,NS
217,13,4,NS
218,13,4,NS
219,13,4,NS
220,15,3,EW
221,15,3,EW
222,15,3,EW
223,15,5,EW
224,19,5,EW
225,21,5,EW
226,21,6,EW
227,22,6,EW
228,22,5,EW
229,22,5,EW
230,23,4,EW
231,24,4,EW
232,25,3,EW
233,26,3,EW
234,27,2,EW
235,28,2,EW
236,28,1,EW
237,28,2,EW
